Constituency,Member,Party
Rautahat 1,Madhav Kumar Nepal,Unified Socialist
Rautahat 2,Kiran Kumar Sah,Independent
Rautahat 3,Prabhu Sah,Independent
Rautahat 4,Dev Prasad Timilsena,Congress
Rolpa 1,Barsaman Pun,Maoist Centre
Rukum East 1,Purna Bahadur Gharti Magar,Maoist Centre
Rukum West 1,Janardan Sharma,Maoist Centre
Rupandehi 1,Chhabilal Bishwakarma,CPN (UML)
Rupandehi 2,Bishnu Prasad Paudel,CPN (UML)
Rupandehi 3,Deepak Bohara,RPP
Rupandehi 4,Sarbendra Nath Shukla,Loktantrik Samajwadi
Rupandehi 5,Basudev Ghimire,CPN (UML)
Salyan 1,Prakash Jwala,Unified Socialist
Sankhuwasabha 1,Deepak Khadka,Congress
Saptari 1,Nawal Kishore Sah Sudi,PSP-Nepal
Saptari 2,CK Raut,Janamat
Saptari 3,Dinesh Kumar Yadav,Congress
Saptari 4,Teju Lal Chaudhary,Congress
Sarlahi 1,Ram Prakash Chaudhary,Loktantrik Samajwadi
Sarlahi 2,Mahindra Rai Yadav,Maoist Centre
Sarlahi 3,Hari Prasad Upreti,CPN (UML)
Sarlahi 4,Amresh Kumar Singh,Independent
Sindhuli 1,Shyam Kumar Ghimire,Congress
Sindhuli 2,Lekh Nath Dahal,Maoist Centre
Sindhupalchok 1,Madhav Sapkota,Maoist Centre
Sindhupalchok 2,Mohan Bahadur Basnet,Congress
Siraha 1,Ram Shankar Yadav,CPN (UML)
Siraha 2,Raj Kishor Yadav,PSP-Nepal
Siraha 3,Lila Nath Shrestha,CPN (UML)
Siraha 4,Birendra Prasad Mahato,PSP-Nepal
Solukhumbu 1,Manbir Rai,CPN (UML)
Sunsari 1,Ashok Rai,PSP-Nepal
Sunsari 2,Bhim Prasad Acharya,CPN (UML)
Sunsari 3,Bhagwati Chaudhary,CPN (UML)
Sunsari 4,Gyanendra Bahadur Karki,Congress
Surkhet 1,Purna Bahadur Khadka,Congress
Surkhet 2,Hridaya Ram Thani,Congress
Syangja 1,Raju Thapa,Congress
Syangja 2,Dhanraj Gurung,Congress
Tanahun 1,Ram Chandra Paudel,Congress
Tanahun 2,Shankar Bhandari,Congress
Taplejung 1,Yogesh Bhattrai,CPN (UML)
Tehrathum 1,Sita Gurung,Congress
Udayapur 1,Narayan Khadka,Congress
Udayapur 2,Ambar Bahadur Rayamajhi,CPN (UML)
