,mean_seats,p10,p50,p90
Congress,49.4,43.0,49.0,56.0
CPN (UML),41.1438,34.0,41.0,48.0
Maoist Centre,13.8484,10.0,14.0,18.0
Nagrik Unmukti Party,10.0974,7.0,10.0,14.0
Unified Socialist,9.8464,6.0,10.0,14.0
PSP-Nepal,8.4576,5.0,8.0,12.0
RSP,7.7618,4.0,8.0,11.0
RPP,7.5672,4.0,7.0,11.0
Independent,6.8884,4.0,7.0,10.0
Loktantrik Samajwadi,5.8896,3.0,6.0,9.0
Other,4.0994,2.0,4.0,7.0
