Constituency,Party_2017,Party_2022,Party_Changed
Saptari 2,"People's Socialist Party, Nepal",Janamat,1
Sarlahi 1,"People's Socialist Party, Nepal",Loktantrik Samajwadi,1
Gorkha 2,"People's Socialist Party, Nepal",Maoist Centre,1
Sarlahi 2,"People's Socialist Party, Nepal",Maoist Centre,1
Banke 2,"People's Socialist Party, Nepal",RPP,1
Parsa 1,"People's Socialist Party, Nepal",PSP-Nepal,1
Siraha 4,"People's Socialist Party, Nepal",PSP-Nepal,1
Bara 2,"People's Socialist Party, Nepal",PSP-Nepal,1
Bara 3,"People's Socialist Party, Nepal",CPN (UML),1
Mahottari 4,"People's Socialist Party, Nepal",Congress,1
Saptari 1,"People's Socialist Party, Nepal",PSP-Nepal,1
Mahottari 3,Loktantrik Samajwadi Party,Loktantrik Samajwadi,1
Dhanusha 2,Loktantrik Samajwadi Party,Congress,1
Parsa 2,Loktantrik Samajwadi Party,Congress,1
Parsa 4,Loktantrik Samajwadi Party,Congress,1
Rautahat 1,Loktantrik Samajwadi Party,Unified Socialist,1
Saptari 3,Loktantrik Samajwadi Party,Congress,1
Bara 4,Loktantrik Samajwadi Party,Unified Socialist,1
Dhanusha 3,Loktantrik Samajwadi Party,CPN (UML),1
Mahottari 2,Loktantrik Samajwadi Party,Loktantrik Samajwadi,1
Jhapa 3,Rastriya Prajatantra Party,RPP,1
Pyuthan 1,Rastriya Janamorcha,CPN (UML),1
Bhaktapur 1,Nepal Majdoor Kisan Party,NMKP,1
Humla 1,Independent,Maoist Centre,1
Kailali 3,,Nagrik Unmukti Party,1
Arghakhanchi 1,,CPN (UML),1
Kailali 4,,Congress,1
Rautahat 3,,Independent,1
Kailali 1,RJPN,Nagrik Unmukti Party,1
Parsa 3,Forum Nepal,CPN (UML),1
Rautahat 2,Congress,Independent,1
