Constituency_2017,Party_2017,key,Constituency_2022,Party_2022
Siraha 1,Nepali Congress (62),siraha 1,Siraha 1,CPN (UML)
Kathmandu 1,Nepali Congress (62),kathmandu 1,Kathmandu 1,Congress
Rupandehi 4,Nepali Congress (62),rupandehi 4,Rupandehi 4,Loktantrik Samajwadi
Kathmandu 10,Nepali Congress (62),kathmandu 10,Kathmandu 10,Congress
Bardiya 1,Nepali Congress (62),bardiya 1,Bardiya 1,Congress
Nawalparasi (Bardaghat Susta East) 1,Nepali Congress (62),nawalpur 1,Nawalpur 1,Congress
Sunsari 2,Nepali Congress (62),sunsari 2,Sunsari 2,CPN (UML)
Saptari 4,Nepali Congress (62),saptari 4,Saptari 4,Congress
Bara 1,Nepali Congress (62),bara 1,Bara 1,CPN (UML)
Sindhupalchok 1,CPN (Maoist Centre) (49),sindhupalchok 1,Sindhupalchok 1,Maoist Centre
Chitwan 3,CPN (Maoist Centre) (49),chitwan 3,Chitwan 3,RPP
Lamjung 1,CPN (Maoist Centre) (49),lamjung 1,Lamjung 1,CPN (UML)
Morang 4,CPN (Maoist Centre) (49),morang 4,Morang 4,Maoist Centre
Rolpa 1,CPN (Maoist Centre) (49),rolpa 1,Rolpa 1,Maoist Centre
Kanchanpur 1,CPN (Maoist Centre) (49),kanchanpur 1,Kanchanpur 1,CPN (UML)
Kapilvastu 1,CPN (Maoist Centre) (49),kapilvastu 1,Kapilvastu 1,CPN (UML)
Baglung 2,CPN (Maoist Centre) (49),baglung 2,Baglung 2,Maoist Centre
Kalikot 1,CPN (Maoist Centre) (49),kalikot 1,Kalikot 1,Maoist Centre
Jumla 1,CPN (Maoist Centre) (49),jumla 1,Jumla 1,RPP
Kavrepalanchok 1,CPN (Maoist Centre) (49),kavrepalanchok 1,Kavrepalanchok 1,Maoist Centre
Mahottari 1,CPN (Maoist Centre) (49),mahottari 1,Mahottari 1,CPN (UML)
Gorkha 1,CPN (Maoist Centre) (49),gorkha 1,Gorkha 1,Congress
Sindhuli 2,CPN (Maoist Centre) (49),sindhuli 2,Sindhuli 2,Maoist Centre
Solukhumbu 1,CPN (Maoist Centre) (49),solukhumbu 1,Solukhumbu 1,CPN (UML)
Nuwakot 1,CPN (Maoist Centre) (49),nuwakot 1,Nuwakot 1,Maoist Centre
Western Rukum 1,CPN (Maoist Centre) (49),rukum west 1,Rukum West 1,Maoist Centre
Eastern Rukum 1,CPN (Maoist Centre) (49),rukum east 1,Rukum East 1,Maoist Centre
Dang 2,CPN (Maoist Centre) (49),dang 2,Dang 2,Maoist Centre
Banke 1,CPN (Maoist Centre) (49),banke 1,Banke 1,CPN (UML)
Dhanusha 1,CPN (Maoist Centre) (49),dhanusha 1,Dhanusha 1,PSP-Nepal
Lalitpur 3,CPN (Maoist Centre) (49),lalitpur 3,Lalitpur 3,RSP
Sarlahi 3,CPN (Maoist Centre) (49),sarlahi 3,Sarlahi 3,CPN (UML)
Jajarkot 1,CPN (Maoist Centre) (49),jajarkot 1,Jajarkot 1,Maoist Centre
Bardiya 2,CPN (Maoist Centre) (49),bardiya 2,Bardiya 2,Independent
Morang 5,CPN (Maoist Centre) (49),morang 5,Morang 5,Independent
Ramechhap 1,CPN (Maoist Centre) (49),ramechhap 1,Ramechhap 1,Congress
