Constituency,Member,Party
Jhapa 5,Khadga Prasad Oli,CPN (UML) (93)
Ilam 2,Subash Chandra Nembang,CPN (UML) (93)
Khotang 1,Bishal Bhattarai,CPN (UML) (93)
Chitwan 2,Krishna Bhakta Pokharel,CPN (UML) (93)
Makwanpur 1,Krishna Prasad Dahal,CPN (UML) (93)
Jhapa 2,Pabitra Niraula Kharel,CPN (UML) (93)
Panchthar 1,Basanta Kumar Nemwang,CPN (UML) (93)
Bajhang 1,Bhairab Bahadur Singh,CPN (UML) (93)
Morang 3,Bhanu Bhakta Dhakal,CPN (UML) (93)
Achham 1,Bhim Bahadur Rawal,CPN (UML) (93)
Dhading 1,Bhumi Tripathi,CPN (UML) (93)
Myagdi 1,Bhupendra Bahadur Thapa,CPN (UML) (93)
Kaski 2,Bidya Bhattarai[k],CPN (UML) (93)
Rupandehi 2,Bishnu Prasad Poudel,CPN (UML) (93)
Kapilvastu 2,Brijesh Kumar Gupta,CPN (UML) (93)
Rupandehi 1,Chabilal Bishwakarma,CPN (UML) (93)
Palpa 1,Dal Bahadur Rana,CPN (UML) (93)
Baitadi 1,Damodar Bhandari,CPN (UML) (93)
Surkhet 1,Dhurba Kumar Shahi,CPN (UML) (93)
Kanchanpur 3,Dipak Prakash Bhatta,CPN (UML) (93)
Sindhuli 1,Ganesh Kumar Pahadi,CPN (UML) (93)
Darchula 1,Ganesh Singh Thagunna,CPN (UML) (93)
Morang 1,Ghanashyam Khatiwada,CPN (UML) (93)
Rupandehi 3,Ghanashyam Bhusal,CPN (UML) (93)
Gulmi 2,Gokarna Raj Bista,CPN (UML) (93)
Kavrepalanchok 2,Gokul Prasad Baskota,CPN (UML) (93)
Nawalparasi (Bardaghat Susta West) 1,Hridayesh Tripathi,CPN (UML) (93)
Kathmandu 5,Ishwor Pokharel,CPN (UML) (93)
Kaski 3,Jagat Bahadur Sunar Bishwakarma,CPN (UML) (93)
Sunsari 1,Jay Kumar Rai,CPN (UML) (93)
Kailali 2,Jhapat Bahadur Rawal,CPN (UML) (93)
Tanahun 2,Kedar Sigdel,CPN (UML) (93)
Kaski 1,Khagaraj Adhikari,CPN (UML) (93)
Dhading 2,Khem Prasad Lohani,CPN (UML) (93)
Kathmandu 3,Krishna Bahadur Rai,CPN (UML) (93)
Kathmandu 9,Krishna Gopal Shrestha,CPN (UML) (93)
Morang 6,Lal Babu Pandit,CPN (UML) (93)
Bajura 1,Lal Bahadur Thapa,CPN (UML) (93)
Jhapa 4,Lal Prasad Sawa Limbu,CPN (UML) (93)
Siraha 3,Lila Nath Shrestha,CPN (UML) (93)
Bhaktapur 2,Mahesh Basnet,CPN (UML) (93)
Banke 3,Nanda Lal Roka Chhetri,CPN (UML) (93)
Kanchanpur 2,Nar Bahadur Dhami,CPN (UML) (93)
Kailali 5,Narad Muni Rana,CPN (UML) (93)
Nuwakot 2,Narayan Prasad Khatiwada,CPN (UML) (93)
Syangja 1,Narayan Prasad Marasini,CPN (UML) (93)
Surkhet 2,Navaraj Rawat,CPN (UML) (93)
Lalitpur 1,Nawaraj Silwal,CPN (UML) (93)
Parbat 1,Padam Giri,CPN (UML) (93)
Syangja 2,Padma Kumari Aryal,CPN (UML) (93)
Dolakha 1,Parbat Gurung,CPN (UML) (93)
Manang 1,Polden Chopang Gurung,CPN (UML) (93)
Gulmi 1,Pradip Kumar Gyawali,CPN (UML) (93)
Mustang 1,Prem Prasad Tulachan,CPN (UML) (93)
Dailekh 1,Rabindra Raj Sharma,CPN (UML) (93)
Dhanusha 4,Raghu Bir Mahaseth,CPN (UML) (93)
Dailekh 2,Raj Bahadur Buda Chhetri,CPN (UML) (93)
Dhankuta 1,Rajendra Kumar Rai,CPN (UML) (93)
Sankhuwasabha 1,Rajendra Prasad Gautam,CPN (UML) (93)
Kathmandu 7,Ram Bir Manandhar,CPN (UML) (93)
Sindhupalchok 2,Sher Bahadur Tamang,CPN (UML) (93)
Chitwan 1,Surendra Prasad Pandey,CPN (UML) (93)
Baglung 1,Surya Prasad Pathak,CPN (UML) (93)
Nawalparasi (Bardaghat Susta East) 2,Til Bahadur Mahat Chhetri,CPN (UML) (93)
Achham 2,Yagya Bahadur Bogati,CPN (UML) (93)
Okhaldhunga 1,Yagya Raj Sunuwar,CPN (UML) (93)
Taplejung 1,Yogesh Bhattarai,CPN (UML) (93)
Dadeldhura 1,Sher Bahadur Deuba,Nepali Congress (62)
Sunsari 3,Bijay Kumar Gachhadhar,Nepali Congress (62)
Rupandehi 5,Bharat Kumar Shah,Nepali Congress (62)
Kapilvastu 3,Abhisek Pratap Shah,Nepali Congress (62)
Sarlahi 4,Amresh Kumar Singh,Nepali Congress (62)
Kathmandu 6,Bhimshen Das Pradhan,Nepali Congress (62)
Rautahat 4,Dev Prasad Timilsena,Nepali Congress (62)
Nawalparasi (Bardaghat Susta West) 2,Devendra Raj Kandel,Nepali Congress (62)
Kathmandu 4,Gagan Kumar Thapa,Nepali Congress (62)
Sunsari 4,Gyanendra Bahadur Karki,Nepali Congress (62)
Morang 2,Minendra Prasad Rijal,Nepali Congress (62)
Rasuwa 1,Mohan Acharya,Nepali Congress (62)
Udayapur 1,Narayan Khadka,Nepali Congress (62)
Siraha 1,Pradip Giri,Nepali Congress (62)
Kathmandu 1,Prakash Man Singh,Nepali Congress (62)
Rupandehi 4,Pramod Kumar Yadav,Nepali Congress (62)
Kathmandu 10,Rajendra Kumar K.C.,Nepali Congress (62)
Bardiya 1,Sanjay Kumar Gautam,Nepali Congress (62)
Nawalparasi (Bardaghat Susta East) 1,Shashank Koirala,Nepali Congress (62)
Sunsari 2,Sitaram Mahato,Nepali Congress (62)
Saptari 4,Teju Lal Chaudhary,Nepali Congress (62)
Bara 1,Umakanta Chaudhary,Nepali Congress (62)
Sindhupalchok 1,Agni Prasad Sapkota,CPN (Maoist Centre) (49)
Chitwan 3,Puhspa Kamal Dahal,CPN (Maoist Centre) (49)
Lamjung 1,Dev Prasad Gurung,CPN (Maoist Centre) (49)
Morang 4,Aman Lal Modi,CPN (Maoist Centre) (49)
Rolpa 1,Barsha Man Pun,CPN (Maoist Centre) (49)
Kanchanpur 1,Bina Magar,CPN (Maoist Centre) (49)
Kapilvastu 1,Chakrapani Khanal,CPN (Maoist Centre) (49)
Baglung 2,Devendra Paudel,CPN (Maoist Centre) (49)
Kalikot 1,Durga Bahadur Rawat,CPN (Maoist Centre) (49)
Jumla 1,Gajendra Bahadur Mahat,CPN (Maoist Centre) (49)
Kavrepalanchok 1,Ganga Bahadur Tamang,CPN (Maoist Centre) (49)
Mahottari 1,Giriraj Mani Pokharel,CPN (Maoist Centre) (49)
Gorkha 1,Hari Raj Adhikari,CPN (Maoist Centre) (49)
Sindhuli 2,Haribol Prasad Gajurel,CPN (Maoist Centre) (49)
Solukhumbu 1,Hem Kumar Rai,CPN (Maoist Centre) (49)
Nuwakot 1,Hit Bahadur Tamang,CPN (Maoist Centre) (49)
Western Rukum 1,Janardhan Sharma,CPN (Maoist Centre) (49)
Eastern Rukum 1,Kamala Roka,CPN (Maoist Centre) (49)
Dang 2,Krishna Bahadur Mahara,CPN (Maoist Centre) (49)
Banke 1,Maheshwar Jung Gahatraj,CPN (Maoist Centre) (49)
Dhanusha 1,Matrika Prasad Yadav,CPN (Maoist Centre) (49)
Lalitpur 3,Pampha Bhushal,CPN (Maoist Centre) (49)
Sarlahi 3,Rameshwar Raya Yadav,CPN (Maoist Centre) (49)
Jajarkot 1,Shakti Bahadur Basnet,CPN (Maoist Centre) (49)
Bardiya 2,Sant Kumar Tharu,CPN (Maoist Centre) (49)
Morang 5,Shiva Kumar Mandal,CPN (Maoist Centre) (49)
Ramechhap 1,Shyam Kumar Shrestha,CPN (Maoist Centre) (49)
Bhojpur 1,Sudan Kirati,CPN (Maoist Centre) (49)
Jhapa 1,Surendra Kumar Karki,CPN (Maoist Centre) (49)
Siraha 2,Suresh Chandra Das,CPN (Maoist Centre) (49)
Udayapur 2,Suresh Kumar Rai,CPN (Maoist Centre) (49)
Salyan 1,Tek Bahadur Basnet,CPN (Maoist Centre) (49)
Kathmandu 2,Madhav Kumar Nepal,CPN (Unified Socialist) (25)
Kathmandu 8,Jeevan Ram Shrestha,CPN (Unified Socialist) (25)
Tehrathum 1,Bhawani Prasad Khapung,CPN (Unified Socialist) (25)
Makwanpur 2,Birodh Khatiwada,CPN (Unified Socialist) (25)
Dolpa 1,Dhan Bahadur Buda,CPN (Unified Socialist) (25)
Mugu 1,Gopal Bahadur Bam,CPN (Unified Socialist) (25)
Dang 3,Hira Chandra K.C.,CPN (Unified Socialist) (25)
Ilam 1,Jhala Nath Khanal,CPN (Unified Socialist) (25)
Tanahun 1,Krishna Kumar Shrestha,CPN (Unified Socialist) (25)
Lalitpur 2,Krishna Lal Maharjan,CPN (Unified Socialist) (25)
Dang 1,Metmani Chaudhary,CPN (Unified Socialist) (25)
Doti 1,Prem Bahadur Ale,CPN (Unified Socialist) (25)
Palpa 2,Som Prasad Pandey,CPN (Unified Socialist) (25)
Saptari 2,Upendra Yadav[l],"People's Socialist Party, Nepal (19)"
Sarlahi 1,Pramod Sah[m],"People's Socialist Party, Nepal (19)"
Gorkha 2,Baburam Bhattarai[n],"People's Socialist Party, Nepal (19)"
Sarlahi 2,Mahindra Ray Yadav[m],"People's Socialist Party, Nepal (19)"
Banke 2,Mohammad Estiyak Rai[l],"People's Socialist Party, Nepal (19)"
Parsa 1,Pradeep Yadav[l],"People's Socialist Party, Nepal (19)"
Siraha 4,Raj Kishor Yadav[m],"People's Socialist Party, Nepal (19)"
Bara 2,Ram Sahaya Yadav[l],"People's Socialist Party, Nepal (19)"
Bara 3,Rambabu Kumar Yadav[l],"People's Socialist Party, Nepal (19)"
Mahottari 4,Surendra Kumar Yadav[l],"People's Socialist Party, Nepal (19)"
Saptari 1,Surya Narayan Yadav[l],"People's Socialist Party, Nepal (19)"
Mahottari 3,Mahanta Thakur[m],Loktantrik Samajwadi Party (13)
Dhanusha 2,Uma Shankar Aragriya[l],Loktantrik Samajwadi Party (13)
Parsa 2,Bimal Prasad Shrivastav[l],Loktantrik Samajwadi Party (13)
Parsa 4,Laxman Lal Karna[m],Loktantrik Samajwadi Party (13)
Rautahat 1,Anil Kumar Jha[m],Loktantrik Samajwadi Party (13)
Saptari 3,Chandra Kanta Chaudhary[m],Loktantrik Samajwadi Party (13)
Bara 4,Iqbal Miya[m],Loktantrik Samajwadi Party (13)
Dhanusha 3,Rajendra Mahato[m],Loktantrik Samajwadi Party (13)
Mahottari 2,Sharat Singh Bhandari[m],Loktantrik Samajwadi Party (13)
Jhapa 3,Rajendra Prasad Lingden,Rastriya Prajatantra Party (1)
Pyuthan 1,Durga Poudel,Rastriya Janamorcha (1)
Bhaktapur 1,Prem Suwal,Nepal Majdoor Kisan Party (1)
Humla 1,Chakka Bahadur Lama,Independent (1)
Kailali 3,Gauri Shankar Chaudhary,
Arghakhanchi 1,Top Bahadur Rayamajhi,
Kailali 4,Lekh Raj Bhatta,
Rautahat 3,Prabhu Sah,
Kailali 1,Resham Lal Chaudhary,RJPN
Parsa 3,Hari Narayan Rauniyar,Forum Nepal
Rautahat 2,Mohammad Aftab Alam,Congress
